timestamp_rounded_5min,source,chamber_RH,chamber_temp,PM1_SMPS,PM1_SMPS_SPS30,PN25_APS_valid,PM1_APS_valid,PM25_APS_valid,PM25_dusttrak,PN1_SMPS_SPS30,timestamp_rounded_1min,sensor,SPS30_PM1,SPS30_PM2.5,SHTC3Ext_T,SHTC3Ext_RH,SHTC3_T,SHTC3_RH
2025-05-21T09:15:00Z,candles,40,20,0.6800615456066166,0.3274576070074928,0.702,0.11270761076294494,0.8181032098910059,0.001,6.675485466437211,2025-05-21T09:17:00Z,3,0.9724859,1.028366446,23.48619461,36.16272354,27.354002,29.66133118
2025-05-21T09:15:00Z,candles,40,20,0.6800615456066166,0.3274576070074928,0.702,0.11270761076294494,0.8181032098910059,0.001,6.675485466437211,2025-05-21T09:17:00Z,6,0.773808539,0.908003092,22.29648972,35.34592056,25.97599792,34.23666
2025-05-21T09:15:00Z,candles,40,20,0.6800615456066166,0.3274576070074928,0.702,0.11270761076294494,0.8181032098910059,0.001,6.675485466437211,2025-05-21T09:17:00Z,2,0.90224427,0.954088986,23.43556786,33.07976913,27.75733376,31.22000122
2025-05-21T09:15:00Z,candles,40,20,0.6800615456066166,0.3274576070074928,0.702,0.11270761076294494,0.8181032098910059,0.001,6.675485466437211,2025-05-21T09:19:00Z,8,0.834479928,0.882430613,22.99752998,37.33381653,26.4913311,27.78999901
2025-05-21T09:15:00Z,candles,40,20,0.6800615456066166,0.3274576070074928,0.702,0.11270761076294494,0.8181032098910059,0.001,6.675485466437211,2025-05-21T09:17:00Z,4,0.663468599,0.701592863,23.02266502,35.64133072,27.28933525,31.74933434
2025-05-21T09:15:00Z,candles,40,20,0.6800615456066166,0.3274576070074928,0.702,0.11270761076294494,0.8181032098910059,0.001,6.675485466437211,2025-05-21T09:17:00Z,5,0.95027554,1.092965722,22.55006981,36.77915573,26.45199776,35.77399826
2025-05-21T09:15:00Z,candles,40,20,0.6800615456066166,0.3274576070074928,0.702,0.11270761076294494,0.8181032098910059,0.001,6.675485466437211,2025-05-21T09:19:00Z,7,0.753467083,0.893147111,NA,NA,27.00863075,26.93636322
2025-05-21T09:15:00Z,candles,40,20,0.6800615456066166,0.3274576070074928,0.702,0.11270761076294494,0.8181032098910059,0.001,6.675485466437211,2025-05-21T09:17:00Z,9,0.900214851,0.951942682,22.65916443,35.73084641,26.91199875,27.19200134
2025-05-21T09:20:00Z,candles,40,20,0.6224900410018296,0.3471741782726447,0.5219999999999999,0.06855516429797658,0.6380568544308352,0.001,9.829901939521045,2025-05-21T09:22:00Z,3,1.029098868,1.088232517,23.11857033,36.45339584,26.96000099,29.92200089
2025-05-21T09:20:00Z,candles,40,20,0.6224900410018296,0.3471741782726447,0.5219999999999999,0.06855516429797658,0.6380568544308352,0.001,9.829901939521045,2025-05-21T09:22:00Z,6,0.574378848,0.618032455,21.77144623,35.90800476,25.68400002,34.30666733
2025-05-21T09:20:00Z,candles,40,20,0.6224900410018296,0.3471741782726447,0.5219999999999999,0.06855516429797658,0.6380568544308352,0.001,9.829901939521045,2025-05-21T09:22:00Z,2,0.599449217,0.633894861,23.33943176,32.92321396,27.45133591,31.34933662
2025-05-21T09:20:00Z,candles,40,20,0.6224900410018296,0.3471741782726447,0.5219999999999999,0.06855516429797658,0.6380568544308352,0.001,9.829901939521045,2025-05-21T09:24:00Z,8,0.591789663,0.92391032,22.90716743,37.3022728,26.26866531,27.99933052
2025-05-21T09:20:00Z,candles,40,20,0.6224900410018296,0.3471741782726447,0.5219999999999999,0.06855516429797658,0.6380568544308352,0.001,9.829901939521045,2025-05-21T09:20:00Z,1,0.564298391,0.596724033,22.6439991,34.85599518,26.83000374,32.62200165
2025-05-21T09:20:00Z,candles,40,20,0.6224900410018296,0.3471741782726447,0.5219999999999999,0.06855516429797658,0.6380568544308352,0.001,9.829901939521045,2025-05-21T09:22:00Z,5,0.955934346,1.010864139,22.63610268,36.21567917,26.47133636,35.5
2025-05-21T09:20:00Z,candles,40,20,0.6224900410018296,0.3471741782726447,0.5219999999999999,0.06855516429797658,0.6380568544308352,0.001,9.829901939521045,2025-05-21T09:24:00Z,7,0.917981088,1.024976015,NA,NA,26.75408745,27.08864021
2025-05-21T09:20:00Z,candles,40,20,0.6224900410018296,0.3471741782726447,0.5219999999999999,0.06855516429797658,0.6380568544308352,0.001,9.829901939521045,2025-05-21T09:22:00Z,9,0.898326695,0.949946523,22.71763039,35.22436523,26.7753315,27.12400055
2025-05-21T09:25:00Z,candles,40,20,0.8139153905019055,0.4660410202432905,0.378,0.06016121900449842,0.3250253217764131,0,12.81916328195168,2025-05-21T09:27:00Z,3,0.780909598,0.825782061,23.13630104,36.32918549,26.77799797,30.14266586
2025-05-21T09:25:00Z,candles,40,20,0.8139153905019055,0.4660410202432905,0.378,0.06016121900449842,0.3250253217764131,0,12.81916328195168,2025-05-21T09:27:00Z,6,0.558010042,0.631939352,21.77627945,35.77916336,25.58266449,34.50933075
2025-05-21T09:25:00Z,candles,40,20,0.8139153905019055,0.4660410202432905,0.378,0.06016121900449842,0.3250253217764131,0,12.81916328195168,2025-05-21T09:27:00Z,2,0.375531733,0.413195431,23.28195953,32.94390488,27.27066422,31.5893364
2025-05-21T09:25:00Z,candles,40,20,0.8139153905019055,0.4660410202432905,0.378,0.06016121900449842,0.3250253217764131,0,12.81916328195168,2025-05-21T09:29:00Z,8,0.510086656,0.54504317,22.8417778,37.57617188,26.09066582,28.50133514
